i	eff
1.000000000000000e-002	3.293440e-001
3.500000000000000e-002	6.423940e-001
6.000000000000000e-002	7.621310e-001
8.500000000000001e-002	8.247430e-001
1.100000000000000e-001	8.628630e-001
1.350000000000000e-001	8.882670e-001
1.600000000000000e-001	9.062390e-001
1.850000000000000e-001	9.195020e-001
2.100000000000000e-001	9.296010e-001
2.350000000000000e-001	9.374760e-001
2.600000000000000e-001	9.437320e-001
2.850000000000000e-001	9.487800e-001
3.100000000000000e-001	9.528990e-001
3.350000000000000e-001	9.562960e-001
3.600000000000000e-001	9.591170e-001
3.850000000000000e-001	9.614770e-001
4.100000000000000e-001	9.634610e-001
4.350000000000000e-001	9.651350e-001
4.600000000000000e-001	9.665520e-001
4.850000000000000e-001	9.677530e-001
5.100000000000000e-001	9.687740e-001
5.350000000000000e-001	9.696400e-001
5.600000000000001e-001	9.703730e-001
5.850000000000000e-001	9.709920e-001
6.100000000000000e-001	9.715150e-001
6.350000000000000e-001	9.719530e-001
6.600000000000000e-001	9.723170e-001
6.850000000000001e-001	9.726140e-001
7.100000000000000e-001	9.728540e-001
7.350000000000000e-001	9.730450e-001
7.600000000000000e-001	9.731910e-001
7.850000000000000e-001	9.732950e-001
8.100000000000001e-001	9.733640e-001
8.350000000000000e-001	9.734020e-001
8.600000000000000e-001	9.734090e-001
8.850000000000000e-001	9.733910e-001
9.100000000000000e-001	9.733490e-001
9.350000000000001e-001	9.732840e-001
9.600000000000000e-001	9.731990e-001
9.850000000000000e-001	9.730950e-001
1.000000000000000e+000	9.730240e-001
